# ----------------------------------------
# View user engagement & retention overview
# Account: NovaTech
# Property: novatech.io - GA4
# ----------------------------------------
# 
# Start date: 20240101
# End date: 20241231
Nth day,Active users
0000,2869
0001,2311
0002,3212
0003,2727
0004,3143
0005,1496
0006,1268
0007,3100
0008,3051
0009,2847
0010,3010
0011,2894
0012,1542
0013,1815
0014,2739
0015,2624
0016,2766
0017,2393
0018,3082
0019,1479
0020,1401
0021,2371
0022,3195
0023,2889
0024,2560
0025,2352
0026,1416
0027,1337
0028,3172
0029,3211
0030,2599
0031,2605
0032,2798
0033,1428
0034,1728
0035,2992
0036,2972
0037,2363
0038,2870
0039,3122
0040,1496
0041,1813
0042,2262
0043,2416
0044,3198
0045,2315
0046,2930
0047,1425
0048,1806
0049,2992
0050,2890
0051,2704
0052,3073
0053,2747
0054,1647
0055,1281
0056,3102
0057,2689
0058,3149
0059,2288
0060,2394
0061,1361
0062,1263
0063,2622
0064,2484
0065,2630
0066,1878
0067,2753
0068,1545
0069,1547
0070,2198
0071,2984
0072,2080
0073,3052
0074,2899
0075,1357
0076,1571
0077,3023
0078,2584
0079,2900
0080,3095
0081,2467
0082,1391
0083,1404
0084,3056
0085,3100
0086,2833
0087,2728
0088,2179
0089,1415
0090,1405
0091,2631
0092,3038
0093,2863
0094,3120
0095,3063
0096,1387
0097,1734
0098,2481
0099,3133
0100,2805
0101,2948
0102,2453
0103,1349
0104,1694
0105,2802
0106,2840
0107,2982
0108,2573
0109,2756
0110,1220
0111,1220
0112,2374
0113,3118
0114,3169
0115,2834
0116,2369
0117,1727
0118,1665
0119,3000
0120,2519
0121,2867
0122,2200
0123,2457
0124,1407
0125,1202
0126,2572
0127,2459
0128,2668
0129,2329
0130,2449
0131,1236
0132,1633
0133,2993
0134,2953
0135,2316
0136,2566
0137,2231
0138,1616
0139,1498
0140,2337
0141,2939
0142,2807
0143,2502
0144,2971
0145,1295
0146,1207
0147,2301
0148,2558
0149,3148
0150,2768
0151,2354
0152,1272
0153,1153
0154,2740
0155,2152
0156,2755
0157,2772
0158,2039
0159,1026
0160,1398
0161,2455
0162,2477
0163,2533
0164,1975
0165,2693
0166,1303
0167,1035
0168,2147
0169,2363
0170,2644
0171,2051
0172,2698
0173,1093
0174,1347
0175,2730
0176,2438
0177,1906
0178,2729
0179,2739
0180,1470
0181,1541
0182,1984
0183,2347
0184,2768
0185,2267
0186,2205
0187,1448
0188,1444
0189,1957
0190,2215
0191,2382
0192,2752
0193,2595
0194,1105
0195,1125
0196,2139
0197,2562
0198,2598
0199,2171
0200,2739
0201,1141
0202,1410
0203,2156
0204,1932
0205,2369
0206,2606
0207,1970
0208,1354
0209,1137
0210,2448
0211,2194
0212,2714
0213,1892
0214,2104
0215,1222
0216,1365
0217,1966
0218,2049
0219,2535
0220,2248
0221,2635
0222,1045
0223,1418
0224,2133
0225,2047
0226,2587
0227,2290
0228,2431
0229,1369
0230,1258
0231,1756
0232,2109
0233,2461
0234,2573
0235,2415
0236,1191
0237,1073
0238,2188
0239,1873
0240,2340
0241,2222
0242,2364
0243,1027
0244,1809
0245,3104
0246,3169
0247,2476
0248,2730
0249,3242
0250,1742
0251,1775
0252,2654
0253,2617
0254,2866
0255,2357
0256,3111
0257,1457
0258,1818
0259,3009
0260,2603
0261,3287
0262,2565
0263,2420
0264,1229
0265,1348
0266,2516
0267,2849
0268,3274
0269,2517
0270,2799
0271,1635
0272,1744
0273,2918
0274,2630
0275,2302
0276,3024
0277,2971
0278,1751
0279,1456
0280,2329
0281,3204
0282,2789
0283,2906
0284,3294
0285,1739
0286,1678
0287,3179
0288,3181
0289,2445
0290,3257
0291,2610
0292,1480
0293,1383
0294,3203
0295,2373
0296,3014
0297,2273
0298,2232
0299,1734
0300,1625
0301,2701
0302,2272
0303,2256
0304,3118
0305,3105
0306,1556
0307,1463
0308,2577
0309,2895
0310,3272
0311,3213
0312,2248
0313,1531
0314,1306
0315,3181
0316,2298
0317,3194
0318,3183
0319,2970
0320,1581
0321,1299
0322,2888
0323,2810
0324,3297
0325,2398
0326,3211
0327,1281
0328,1799
0329,3280
0330,2865
0331,2477
0332,3198
0333,2271
0334,1563
0335,1303
0336,2563
0337,2475
0338,2968
0339,2579
0340,2827
0341,1237
0342,1161
0343,2406
0344,2110
0345,2070
0346,2322
0347,2161
0348,1410
0349,1284
0350,2273
0351,2737
0352,2300
0353,2421
0354,2291
0355,1587
0356,1378
0357,2606
0358,2049
0359,2365
0360,2305
0361,2405
0362,1533
0363,1246
0364,2586
0365,2752
